Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,8,0,0,0,2020-03-24,15.9129,79.74
Bihar,3,0,0,1,2020-03-24,25.0961,85.3131
Chhattisgarh,1,0,0,0,2020-03-24,21.2787,81.8661
Delhi,29,1,6,1,2020-03-24,28.7041,77.1025
Gujarat,32,1,0,1,2020-03-24,22.2587,71.1924
Haryana,14,14,11,0,2020-03-24,29.0588,76.0856
Himachal Pradesh,3,0,0,1,2020-03-24,31.1048,77.1734
Karnataka,37,0,3,1,2020-03-24,15.3173,75.7139
Kerala,87,8,4,0,2020-03-24,10.8505,76.2711
Madhya Pradesh,7,0,0,0,2020-03-24,22.9734,78.6569
Maharashtra,86,3,0,2,2020-03-24,19.7515,75.7139
Manipur,1,0,0,0,2020-03-24,24.6637,93.9063
Odisha,2,0,0,0,2020-03-24,20.9517,85.0985
Puducherry,1,0,0,0,2020-03-24,11.9416,79.8083
Punjab,29,0,0,1,2020-03-24,31.1471,75.3412
Rajasthan,30,2,3,0,2020-03-24,27.0238,74.2179
Tamil Nadu,13,2,1,0,2020-03-24,11.1271,78.6569
Telengana,25,10,1,0,2020-03-24,18.1124,79.0193
Chandigarh,7,0,0,0,2020-03-24,30.7333,76.7794
Jammu and Kashmir,4,0,0,0,2020-03-24,33.7782,76.5762
Ladakh,13,0,0,0,2020-03-24,34.2996,78.2932
Uttar Pradesh,32,1,11,0,2020-03-24,26.8467,80.9462
Uttarakhand,3,1,0,0,2020-03-24,30.0668,79.0193
West Bengal,9,0,0,1,2020-03-24,22.9868,87.855
