Province_State,Confirmed,Recovered,Deaths,Active,Country_Region,Last_Update,Lat,Long_
Andhra Pradesh,86,1,1,84,India,2020-04-02,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,10,India,2020-04-02,11.7401,92.6586
Assam,5,0,0,5,India,2020-04-02,26.2006,92.9376
Bihar,24,0,1,23,India,2020-04-02,25.0961,85.3131
Chandigarh,16,0,0,16,India,2020-04-02,30.7333,76.7794
Chhattisgarh,9,2,0,7,India,2020-04-02,21.2787,81.8661
Delhi,219,8,4,207,India,2020-04-02,28.7041,77.1025
Goa,5,0,0,5,India,2020-04-02,15.2993,74.124
Gujarat,87,8,7,72,India,2020-04-02,22.2587,71.1924
Haryana,43,21,0,22,India,2020-04-02,29.0588,76.0856
Himachal Pradesh,3,1,1,1,India,2020-04-02,31.1048,77.1734
Jammu and Kashmir,62,2,2,58,India,2020-04-02,33.7782,76.5762
Jharkhand,1,0,0,1,India,2020-04-02,23.6102,85.2799
Karnataka,110,9,3,98,India,2020-04-02,15.3173,75.7139
Kerala,265,25,2,238,India,2020-04-02,10.8505,76.2711
Ladakh,13,3,0,10,India,2020-04-02,34.2996,78.2932
Madhya Pradesh,99,0,6,93,India,2020-04-02,22.9734,78.6569
Maharashtra,335,42,13,280,India,2020-04-02,19.7515,75.7139
Manipur,1,0,0,1,India,2020-04-02,24.6637,93.9063
Mizoram,1,0,0,1,India,2020-04-02,23.1645,92.9376
Odisha,4,0,0,4,India,2020-04-02,20.9517,85.0985
Puducherry,3,1,0,2,India,2020-04-02,11.9416,79.8083
Punjab,46,1,4,41,India,2020-04-02,31.1471,75.3412
Rajasthan,108,3,0,105,India,2020-04-02,27.0238,74.2179
Tamil Nadu,234,6,1,227,India,2020-04-02,11.1271,78.6569
Telengana,107,1,3,103,India,2020-04-02,18.1124,79.0193
Uttarakhand,7,2,0,5,India,2020-04-02,30.0668,79.0193
Uttar Pradesh,113,14,2,97,India,2020-04-02,26.8467,80.9462
West Bengal,53,6,3,44,India,2020-04-02,22.9868,87.855
