Province_State,Confirmed,Recovered,Deaths,Country_Region,Last_Update,Lat,Long_
Andhra Pradesh,132,1,1,India,2020-04-03,15.9129,79.74
Andaman and Nicobar Islands,10,0,0,India,2020-04-03,11.7401,92.6586
Arunachal Pradesh,1,0,0,India,2020-04-03,28.218,94.7278
Assam,16,0,0,India,2020-04-03,26.2006,92.9376
Bihar,24,0,1,India,2020-04-03,25.0961,85.3131
Chandigarh,18,0,0,India,2020-04-03,30.7333,76.7794
Chhattisgarh,9,2,0,India,2020-04-03,21.2787,81.8661
Delhi,219,8,4,India,2020-04-03,28.7041,77.1025
Goa,6,0,0,India,2020-04-03,15.2993,74.124
Gujarat,87,8,7,India,2020-04-03,22.2587,71.1924
Haryana,43,21,0,India,2020-04-03,29.0588,76.0856
Himachal Pradesh,6,1,1,India,2020-04-03,31.1048,77.1734
Jammu and Kashmir,70,3,2,India,2020-04-03,33.7782,76.5762
Jharkhand,2,0,0,India,2020-04-03,23.6102,85.2799
Karnataka,124,10,3,India,2020-04-03,15.3173,75.7139
Kerala,286,27,2,India,2020-04-03,10.8505,76.2711
Ladakh,14,3,0,India,2020-04-03,34.2996,78.2932
Madhya Pradesh,99,0,6,India,2020-04-03,22.9734,78.6569
Maharashtra,335,42,16,India,2020-04-03,19.7515,75.7139
Manipur,2,0,0,India,2020-04-03,24.6637,93.9063
Mizoram,1,0,0,India,2020-04-03,23.1645,92.9376
Odisha,5,0,0,India,2020-04-03,20.9517,85.0985
Puducherry,3,1,0,India,2020-04-03,11.9416,79.8083
Punjab,46,1,4,India,2020-04-03,31.1471,75.3412
Rajasthan,133,3,0,India,2020-04-03,27.0238,74.2179
Tamil Nadu,309,6,1,India,2020-04-03,11.1271,78.6569
Telengana,107,1,3,India,2020-04-03,18.1124,79.0193
Uttarakhand,10,2,0,India,2020-04-03,30.0668,79.0193
Uttar Pradesh,113,14,2,India,2020-04-03,26.8467,80.9462
West Bengal,53,3,3,India,2020-04-03,22.9868,87.855
