Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Abruzzo,Italy,42.35122196,13.39843823,3249,413,2093,743,247.7164946095549,12.711603570329332,0.6441982148353339,0.12711603570329333,"Abruzzo, Italy",318,1737,55
Acre,Brazil,-9.0238,-70.812,6465,165,0,6300,733.0472200332224,2.5522041763341066,0.0,0.025522041763341066,"Acre, Brazil",28936,12558,1262
Adygea Republic,Russia,44.6939006,40.1520421,890,9,413,468,196.30505364201017,1.0112359550561798,0.4640449438202247,0.010112359550561797,"Adygea Republic, Russia",8858,11088,182
Aguascalientes,Mexico,21.8853,-102.2916,890,35,616,239,62.03668528928961,3.9325842696629216,0.6921348314606741,0.03932584269662921,"Aguascalientes, Mexico",3891,2784,470
Aichi,Japan,35.035551,137.211621,508,34,457,17,6.7264820406239805,6.692913385826771,0.8996062992125984,0.06692913385826772,"Aichi, Japan",50,122,3
Akita,Japan,39.748679,140.408228,16,0,16,0,1.6554749661144967,0.0,1.0,0.0,"Akita, Japan",0,0,0
Alagoas,Brazil,-9.5713,-36.782,11559,482,0,11077,346.35191859905916,4.16991089194567,0.0,0.041699108919456704,"Alagoas, Brazil",0,0,0
Alberta,Canada,53.9333,-116.5765,7057,143,6537,377,159.90860034995444,2.026356808842284,0.9263142978602805,0.02026356808842284,"Alberta, Canada",671,634,72
Altai Krai,Russia,52.693224300000004,82.69314240000001,1985,12,833,1140,84.46520969498911,0.6045340050377834,0.419647355163728,0.006045340050377834,"Altai Krai, Russia",0,0,0
Altai Republic,Russia,50.7114101,86.8572186,133,0,80,53,60.99154831401935,0.0,0.6015037593984962,0.0,"Altai Republic, Russia",0,0,0
Amapa,Brazil,0.902,-52.003,10511,237,0,10274,1242.8301670389285,2.254780705927124,0.0,0.02254780705927124,"Amapa, Brazil",0,0,0
Amazonas,Brazil,-3.4168,-65.8561,43195,2102,0,41093,1042.2002428704166,4.866303970366942,0.0,0.048663039703669406,"Amazonas, Brazil",0,0,0
Amazonas,Colombia,-1.4429,-71.5724,1848,64,316,1468,2412.879134079307,3.463203463203463,0.170995670995671,0.03463203463203463,"Amazonas, Colombia",1209,1305,51
Amazonas,Peru,-5.077253,-78.050172,608,21,0,587,142.45548266166824,3.4539473684210527,0.0,0.03453947368421053,"Amazonas, Peru",0,750,0
Amur Oblast,Russia,52.8032368,128.437295,546,5,188,353,68.38471789425168,0.9157509157509156,0.3443223443223443,0.009157509157509158,"Amur Oblast, Russia",0,0,0
Ancash,Peru,-9.407125,-77.67179499999997,4444,270,0,4174,376.41877011688973,6.075607560756077,0.0,0.06075607560756076,"Ancash, Peru",0,0,0
Andalusia,Spain,37.5443,-4.7278,12708,1404,10671,633,150.79374967739182,11.048158640226626,0.8397072710103871,0.11048158640226628,"Andalusia, Spain",294,0,0
Anguilla,United Kingdom,18.2206,-63.0686,3,0,3,0,19.99733368884149,0.0,1.0,0.0,"Anguilla, United Kingdom",1656,3,325
Anhui,China,31.8257,117.2264,991,6,985,0,1.5670461733080334,0.6054490413723511,0.9939455095862765,0.006054490413723511,"Anhui, China",7,2,0
Antioquia,Colombia,7.1986,-75.3412,1171,7,491,673,18.276593692436926,0.5977796754910333,0.4192997438087105,0.005977796754910333,"Antioquia, Colombia",0,0,0
Antofagasta,Chile,-23.6509,-70.3975,2649,0,0,2649,436.02497967191965,0.0,0.0,0.0,"Antofagasta, Chile",3528,0,75
Aomori,Japan,40.781541,140.828896,27,1,26,0,2.1662891707204355,3.703703703703704,0.9629629629629629,0.037037037037037035,"Aomori, Japan",0,0,0
Apurimac,Peru,-14.027713,-72.975378,189,3,0,186,43.88205247271883,1.5873015873015872,0.0,0.015873015873015872,"Apurimac, Peru",0,0,0
Aragon,Spain,41.5976,-0.9057,5711,826,3772,1113,432.459529330161,14.463316406933988,0.6604797758711259,0.14463316406933988,"Aragon, Spain",0,0,0
Arauca,Colombia,7.0762,-70.7105,1,0,1,0,0.3814260758122468,0.0,1.0,0.0,"Arauca, Colombia",0,0,0
Araucania,Chile,-38.9489,-72.3311,2141,0,0,2141,223.66760549254928,0.0,0.0,0.0,"Araucania, Chile",0,0,0
Arequipa,Peru,-15.843524,-72.475539,3633,49,0,3584,242.62054227327368,1.348747591522158,0.0,0.01348747591522158,"Arequipa, Peru",0,0,0
Arica y Parinacota,Chile,-18.594,-69.4785,654,0,0,654,289.29348691544135,0.0,0.0,0.0,"Arica y Parinacota, Chile",0,0,0
Arkhangelsk Oblast,Russia,63.5589686,43.1221646,2124,7,659,1458,183.8916459168089,0.3295668549905838,0.3102636534839925,0.003295668549905838,"Arkhangelsk Oblast, Russia",0,0,0
Aruba,Netherlands,12.5211,-69.9683,101,3,98,0,94.59940430474121,2.9702970297029703,0.9702970297029703,0.0297029702970297,"Aruba, Netherlands",103,1,5
Astrakhan Oblast,Russia,47.1878186,47.608851,1937,19,1014,904,190.36593108301213,0.9808982963345381,0.5234899328859061,0.00980898296334538,"Astrakhan Oblast, Russia",0,0,0
Asturias,Spain,43.3614,-5.8593,2425,310,1063,1052,237.2322577173855,12.783505154639174,0.4383505154639175,0.12783505154639174,"Asturias, Spain",0,0,0
Atacama,Chile,-23.8634,-69.1328,236,0,0,236,82.4690391658047,0.0,0.0,0.0,"Atacama, Chile",0,0,0
Atlantico,Colombia,10.6966,-74.8741,4116,121,825,3170,162.33375678411937,2.9397473275024297,0.20043731778425655,0.029397473275024295,"Atlantico, Colombia",0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,107,3,104,0,24.994160242933887,2.803738317757009,0.9719626168224299,0.028037383177570093,"Australian Capital Territory, Australia",8,10,0
Ayacucho,Peru,-14.091648,-74.08344,762,7,0,755,114.03771325950315,0.9186351706036744,0.0,0.009186351706036745,"Ayacucho, Peru",0,0,0
Aysen,Chile,-45.9864,-73.7669,18,0,0,18,17.448961786773687,0.0,0.0,0.0,"Aysen, Chile",0,0,0
Baden-Wurttemberg,Germany,48.6616,9.3501,34796,1760,32100,936,314.3402707232545,5.058052649729853,0.9225198298655017,0.05058052649729854,"Baden-Wurttemberg, Germany",285,977,8
Bahia,Brazil,-12.5797,-41.7007,21430,736,0,20694,144.08597986265642,3.4344377041530563,0.0,0.034344377041530566,"Bahia, Brazil",0,0,0
Baja California,Mexico,30.8406,-115.2838,5231,879,3830,522,143.9116908784583,16.803670426304723,0.7321735805773275,0.16803670426304723,"Baja California, Mexico",0,0,0
Baja California Sur,Mexico,26.0444,-111.6661,660,35,529,96,82.01732802457538,5.303030303030303,0.8015151515151515,0.05303030303030303,"Baja California Sur, Mexico",0,0,0
Baleares,Spain,39.710358,2.995148,2150,209,1533,408,180.94292302772212,9.72093023255814,0.7130232558139535,0.09720930232558139,"Baleares, Spain",0,0,0
Bashkortostan Republic,Russia,54.8573563,57.1439682,3409,18,1138,2253,83.89746936782555,0.5280140803754767,0.3338222352596069,0.005280140803754767,"Bashkortostan Republic, Russia",0,0,0
Basilicata,Italy,40.63947052,15.80514834,399,27,348,24,70.8868315718222,6.7669172932330826,0.8721804511278195,0.06766917293233082,"Basilicata, Italy",0,0,0
Bayern,Germany,48.7904,11.4979,47298,2472,43140,1686,361.6961775050489,5.226436635798554,0.9120893061017379,0.05226436635798554,"Bayern, Germany",0,0,0
Beijing,China,40.1824,116.4142,593,9,581,3,2.7530176415970287,1.5177065767284992,0.9797639123102867,0.01517706576728499,"Beijing, China",0,0,0
Belgorod Oblast,Russia,50.7080119,37.5837615,2471,20,999,1452,159.43210940746226,0.8093889113719142,0.40428976123027116,0.008093889113719142,"Belgorod Oblast, Russia",0,0,0
Berlin,Germany,52.52,13.405,6873,198,6358,317,188.56867241399175,2.880838061981668,0.9250691110141132,0.028808380619816675,"Berlin, Germany",0,0,0
Bermuda,United Kingdom,32.3078,-64.7505,141,9,113,19,226.42236603343346,6.382978723404255,0.8014184397163121,0.06382978723404255,"Bermuda, United Kingdom",0,0,0
Biobio,Chile,-37.4464,-72.1416,2082,0,0,2082,133.73543892780407,0.0,0.0,0.0,"Biobio, Chile",0,0,0
Bolivar,Colombia,8.6704,-74.03,3270,155,611,2504,157.96262034384642,4.7400611620795114,0.18685015290519877,0.047400611620795105,"Bolivar, Colombia",0,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,7,0,7,0,26.696159566759466,0.0,1.0,0.0,"Bonaire, Sint Eustatius and Saba, Netherlands",0,0,0
Boyaca,Colombia,5.4545,-73.362,211,11,90,110,17.332360749677996,5.213270142180095,0.4265402843601896,0.052132701421800945,"Boyaca, Colombia",0,0,0
Brandenburg,Germany,52.4125,12.5316,3286,170,3010,106,130.81642426879552,5.173463177115035,0.9160073037127207,0.051734631771150334,"Brandenburg, Germany",0,0,0
