Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Afghanistan,Afghanistan,33.93911,67.709953,56069,2462,49681,3926,144.03131127524804,4.391018209705898,0.8860689507571029,0.04391018209705898,Afghanistan,25,17,0
Albania,Albania,41.1533,20.1683,120022,2122,83954,33946,4170.61644311627,1.7680091983136426,0.6994884271216943,0.017680091983136425,Albania,494,690,16
Algeria,Algeria,28.0339,1.6596,115970,3053,80455,32462,264.46349292079555,2.6325773907044927,0.693757006122273,0.026325773907044926,Algeria,128,108,2
Andorra,Andorra,42.5063,1.5218,11431,113,10925,393,14794.538277357151,0.9885399352637564,0.9557344064386318,0.009885399352637565,Andorra,38,21,0
Angola,Angola,-11.2027,17.8739,21642,524,20065,1053,65.84866891488866,2.421218002033084,0.9271324276869051,0.024212180020330838,Angola,84,33,2
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,1011,27,598,386,1032.3911445143374,2.6706231454005933,0.5914935707220573,0.026706231454005934,Antigua and Barbuda,3,0,0
Argentina,Argentina,-38.4161,-63.6167,2234913,54476,2016729,163708,4944.959791265454,2.437499804242939,0.9023747233113772,0.024374998042429392,Argentina,8160,6852,90
Armenia,Armenia,40.0691,45.0382,182056,3320,167518,11218,6143.82799333431,1.8236147119567605,0.9201454497517247,0.018236147119567607,Armenia,891,332,19
Australian Capital Territory,Australia,-35.4735,149.0124,123,3,116,4,28.73160476524177,2.4390243902439024,0.943089430894309,0.024390243902439025,"Australian Capital Territory, Australia",9,2,0
New South Wales,Australia,-33.8688,151.2093,5259,54,0,5205,64.78196600147821,1.026811180832858,0.0,0.01026811180832858,"New South Wales, Australia",0,0,0
Northern Territory,Australia,-12.4634,130.8456,106,0,105,1,43.159609120521175,0.0,0.9905660377358491,0.0,"Northern Territory, Australia",0,0,0
Queensland,Australia,-27.4698,153.0251,1415,6,1331,78,27.661030202326263,0.4240282685512368,0.9406360424028268,0.004240282685512367,"Queensland, Australia",0,0,0
South Australia,Australia,-34.9285,138.6007,642,4,622,16,36.54995730145175,0.6230529595015576,0.9688473520249221,0.006230529595015576,"South Australia, Australia",0,0,0
Tasmania,Australia,-42.8821,147.3272,234,13,221,0,43.69747899159664,5.5555555555555545,0.9444444444444444,0.05555555555555555,"Tasmania, Australia",0,0,0
Victoria,Australia,-37.8136,144.9631,20483,820,19662,1,308.9488529238752,4.003319826197334,0.9599179807645365,0.040033198261973345,"Victoria, Australia",0,0,0
Western Australia,Australia,-31.9505,115.8605,930,9,908,13,35.3531513723105,0.967741935483871,0.9763440860215054,0.00967741935483871,"Western Australia, Australia",0,0,0
Austria,Austria,47.5162,14.5501,508096,9024,468275,30797,5641.499378219933,1.7760423227106688,0.9216270153671747,0.01776042322710669,Austria,3515,2291,42
Azerbaijan,Azerbaijan,40.1431,47.5769,244303,3325,232228,8750,2409.495841624195,1.361014805385116,0.9505736728570668,0.01361014805385116,Azerbaijan,879,334,11
Bahamas,Bahamas,25.025885,-78.035889,8800,186,7676,938,2237.7736186833754,2.113636363636364,0.8722727272727273,0.021136363636363637,Bahamas,0,0,0
Bahrain,Bahrain,26.0275,50.55,134510,493,127329,6688,7904.991998627161,0.3665155007062672,0.946613634674002,0.003665155007062672,Bahrain,731,626,2
Bangladesh,Bangladesh,23.685,90.3563,566838,8642,518841,39355,344.18612157894836,1.524597856883272,0.9153250134959194,0.015245978568832717,Bangladesh,1899,1618,18
Barbados,Barbados,13.1939,-59.5432,3512,39,3285,188,1222.1135744386177,1.110478359908884,0.9353644646924829,0.011104783599088838,Barbados,20,0,0
Belarus,Belarus,53.7098,27.9534,307938,2139,298816,6983,3258.837328100083,0.6946203456539953,0.9703771538426567,0.006946203456539953,Belarus,1414,1314,9
Antwerp,Belgium,51.2195,4.4024,104889,0,0,104889,5645.306261726408,0.0,0.0,0.0,"Antwerp, Belgium",5140,0,26
Brussels,Belgium,50.8503,4.3517,102915,0,0,102915,8515.632886569105,0.0,0.0,0.0,"Brussels, Belgium",0,0,0
East Flanders,Belgium,51.0362,3.7373,92096,0,0,92096,6078.687104967183,0.0,0.0,0.0,"East Flanders, Belgium",0,0,0
Flemish Brabant,Belgium,50.9167,4.5833,63978,0,0,63978,5581.870133269353,0.0,0.0,0.0,"Flemish Brabant, Belgium",0,0,0
Hainaut,Belgium,50.5257,4.0621,123990,0,0,123990,9223.792459834207,0.0,0.0,0.0,"Hainaut, Belgium",0,0,0
Liege,Belgium,50.4496,5.8492,108730,0,0,108730,9822.112535591948,0.0,0.0,0.0,"Liege, Belgium",0,0,0
Limburg,Belgium,50.9739,5.3420000000000005,41730,0,0,41730,4774.337336164605,0.0,0.0,0.0,"Limburg, Belgium",0,0,0
Luxembourg,Belgium,50.0547,5.4677,23419,0,0,23419,8227.643533189525,0.0,0.0,0.0,"Luxembourg, Belgium",0,0,0
Namur,Belgium,50.331,4.8221,44007,0,0,44007,8902.442724927932,0.0,0.0,0.0,"Namur, Belgium",0,0,0
