Country/Region,Total Cases,New Cases,Active,Recovered,New Recovered,Deaths,New Deaths,Population,Cases/M pop,Deaths/M pop,Recovery rate,Death rate
United States,7663293,57420,4410452,3039089,17837,213752,990,331002651,23151,645,0.39657742435269017,0.027892969771611237
India,6906151,0,893592,5906069,0,106490,0,1380004385,5004,77,0.8551896707731992,0.015419587553182663
Peru,838614,2952,805516,728216,0,33098,89,32971854,25434,1003,0.8683565979103616,0.03946750233122748
Spain,861112,12788,677807,150376,0,32929,241,46754778,18417,704,0.17463001328514757,0.03824008955861723
France,732434,20730,596601,103232,690,32601,62,65273511,11220,499,0.14094375738974432,0.04451049514358973
United Kingdom,578390,13888,533133,2488,14,42769,87,67886011,8520,630,0.004301595809056173,0.07394491606009786
Brazil,5055888,27444,403395,4502854,14762,149639,682,212559417,23785,703,0.8906158522498916,0.02959697683176526
Russia,1265572,11969,238236,1005199,7002,22137,198,145934462,8672,151,0.7942645696965482,0.017491695454703485
Netherlands,167348,6016,156038,4709,23,6601,14,17134872,9766,385,0.028138967899227957,0.03944474986256185
Argentina,871468,15099,151102,697141,12297,23225,515,45195774,19282,513,0.7999616738652481,0.02665043352136854
Ukraine,257204,5961,137433,114872,2507,4899,92,43733762,5881,112,0.44661824854978927,0.019047137680595946
Belgium,148981,5385,118758,20072,91,10151,25,11589623,12854,875,0.1347285895516878,0.06813620528792262
Sweden,98451,919,92557,0,0,5894,2,10099265,9748,583,0.0,0.059867345176788454
Colombia,894300,8121,89311,780547,6574,27495,315,50882891,17575,540,0.8728021916582802,0.030744716538074472
Bangladesh,375870,1278,80481,289912,1596,5477,17,164689383,2282,33,0.7713092292547955,0.014571527389789023
Italy,343770,5372,70110,237549,1186,36111,28,60461826,5685,597,0.6910114320621346,0.1050440701631905
Indonesia,324658,4094,65314,247667,3607,11677,97,273523615,1186,42,0.7628550659463189,0.03596707920334629
Iran,492378,4142,62901,401379,2079,28098,210,83992949,5862,334,0.8151846751885746,0.057065912774331914
Israel,287858,2522,60724,225248,3677,1886,22,8655535,33257,217,0.7824969255674673,0.006551841532978065
Iraq,397780,3214,59948,328097,4282,9735,52,40222493,9889,242,0.8248202524008246,0.02447332696465383
Czechia,109374,8617,55296,53173,2013,905,36,10708981,10213,84,0.48615758772651635,0.008274361365589629
Philippines,334770,2901,53311,275307,989,6152,83,109581078,3054,56,0.8223765570391612,0.018376796009200346
South Africa,688352,1461,50724,620081,1310,17547,139,59308690,11606,295,0.9008196387894566,0.025491318395239645
Honduras,82552,880,48324,31736,647,2492,15,9904607,8334,251,0.3844364764027522,0.030187033627289465
Ethiopia,82662,865,44289,37102,668,1271,9,114963588,719,11,0.4488398538627181,0.015375867992547967
Mexico,810020,5532,39400,687123,4519,83497,401,128932753,6282,647,0.8482790548381521,0.10308017085997877
Germany,320495,4554,37178,273718,1758,9599,54,83783942,3825,114,0.8540476450490647,0.029950545250315916
Poland,116338,4739,35544,77875,1385,2919,52,37846611,3073,77,0.6693857552992144,0.025090684041327856
Serbia,34517,173,33756,0,0,761,1,6887371,5011,110,0.0,0.02204710722252803
Costa Rica,86053,1225,32671,52327,545,1055,15,5094118,16892,207,0.6080787421705228,0.012259886349110433
Turkey,332382,1629,31906,291754,1402,8722,55,84339067,3941,103,0.8777671474387904,0.026240891504353426
Portugal,83928,1394,29702,52164,647,2062,12,10196709,8230,202,0.6215327423505862,0.02456867791440282
Bolivia,138226,257,29617,100347,535,8262,34,11673021,11841,707,0.725963277531,0.0597716782660281
Romania,148886,3186,28795,114792,1680,5299,52,19237691,7739,275,0.7710060045941189,0.035590989078892576
Lebanon,51170,1426,28313,22407,647,450,11,6825445,7496,65,0.43789329685362516,0.008794215360562829
Nepal,100676,2059,27053,73023,1680,600,10,29136808,3455,20,0.7253267908935596,0.0059597123445508365
Hungary,35222,1176,25107,9202,15,913,15,9660351,3646,94,0.2612571688149452,0.025921299188007497
Dominican Republic,117457,585,22231,93061,494,2165,2,10847910,10827,199,0.7922984581591561,0.01843227734404931
Tunisia,26899,0,21458,5032,0,409,0,11818619,2275,34,0.18707015130674004,0.015205026209152756
Panama,118841,787,21405,94962,571,2474,11,4314767,27542,573,0.7990676618338789,0.020817731254365077
Morocco,146398,3445,20846,123022,2747,2530,44,36910560,3966,68,0.8403256875093922,0.0172816568532357
Greece,21772,391,19994,1347,0,431,1,10423054,2088,41,0.06186845489619695,0.01979606834466287
Canada,180625,2895,18942,152046,2354,9638,29,37742154,4785,255,0.8417771626297578,0.05335916955017301
Libya,41368,1076,17294,23453,323,621,5,6871292,6020,90,0.566935795784181,0.015011603171533553
Jordan,22763,1246,16691,5906,129,166,22,10203134,2230,16,0.2594561349558494,0.0072925361331986115
Burma,23906,1461,16602,6738,372,566,31,54409800,439,10,0.28185392788421315,0.023676064586296328
Paraguay,48275,959,16587,30643,667,1045,33,7132538,6768,146,0.6347591921284309,0.021646815121698602
Moldova,60833,918,15902,43489,481,1442,18,4033963,15080,357,0.71489158844706,0.023704239475284796
Ireland,40703,617,15518,23364,0,1821,4,4937786,8243,368,0.5740117436061224,0.04473871704788345
Chile,477769,1753,14253,450297,1587,13220,53,19116201,24992,691,0.942499408710067,0.027670275802741492
Algeria,52804,146,13948,37067,109,1789,6,43851044,1204,40,0.7019733353533824,0.03388000909022044
Ecuador,145848,803,13162,120511,0,12175,34,17643054,8266,690,0.8262780428939718,0.08347731885250398
Slovakia,16910,1184,11401,5452,99,57,0,5459642,3097,10,0.3224127735068007,0.0033707865168539327
Oman,104129,0,11389,91731,0,1009,0,5106626,20390,197,0.8809361465105783,0.009689903869239116
Austria,53188,1131,10307,42039,750,842,4,9006398,5905,93,0.7903850492592314,0.015830638489884936
Switzerland,60368,1487,9880,48400,0,2088,1,8654622,6975,241,0.8017492711370262,0.03458786111847336
Saudi Arabia,338539,407,9261,324282,513,4996,24,34813871,9724,143,0.9578866836612621,0.014757531628556827
United Arab Emirates,104004,1075,8659,94903,1424,442,4,9890402,10515,44,0.9124937502403754,0.0042498365447482785
Pakistan,318266,671,8646,303062,354,6558,6,220892340,1440,29,0.9522286389372412,0.020605405541276794
Armenia,55087,614,8549,45528,216,1010,6,2963243,18590,340,0.8264744858133498,0.018334634305734565
Guatemala,96935,455,8236,85343,605,3356,9,17915568,5410,187,0.8804147108887399,0.03462113787589622
Venezuela,81696,677,7992,73020,824,684,6,28435940,2872,24,0.893801410105758,0.008372502937720329
Kenya,40620,442,7989,31876,166,755,4,53771296,755,14,0.7847365829640571,0.018586903003446578
Kuwait,110076,635,7403,102024,710,649,7,4270571,25775,151,0.9268505396271667,0.0058959264508158
Bulgaria,23871,612,7271,15713,150,887,7,6948445,3435,127,0.6582464077751247,0.03715805789451636
Nigeria,59992,151,7265,51614,63,1113,0,206139589,291,5,0.8603480464061874,0.018552473663155086
Japan,88267,588,6505,80140,466,1623,6,126476461,697,12,0.9079270848675043,0.018387392796854998
West Bank and Gaza,43664,408,6375,36922,338,367,8,5101414,8559,71,0.8455936240381092,0.008405093440820813
Sudan,13670,0,6070,6764,0,836,0,43849260,311,19,0.4948061448427213,0.06115581565471836
Bosnia and Herzegovina,29917,389,5750,23241,302,926,13,3280819,9118,282,0.7768492830163453,0.030952301367115687
Denmark,32131,483,5491,25975,606,665,0,5792202,5547,114,0.8084093243285301,0.02069652360648595
Albania,15066,167,5349,9304,89,413,2,2877797,5235,143,0.6175494490906678,0.027412717376875083
Afghanistan,39693,77,5163,33058,0,1472,2,38928346,1019,37,0.8328420628322374,0.03708462449298365
Belarus,82471,489,5043,76543,462,885,5,9449323,8727,93,0.9281201877023438,0.01073104485212984
Georgia,10752,527,4814,5866,313,72,6,3989167,2695,18,0.5455729166666666,0.006696428571428571
Bahrain,74860,438,4183,70406,995,271,7,1701575,43994,159,0.9405022709056906,0.0036200908362276248
Jamaica,7363,90,4129,3102,370,132,4,2961167,2486,44,0.4212956675268233,0.017927475213907376
El Salvador,29951,109,4075,24995,225,881,4,6486205,4617,135,0.8345297318954292,0.02941471069413375
Malaysia,14722,354,3863,10707,188,152,6,32365999,454,4,0.7272789023230539,0.01032468414617579
Montenegro,13348,344,3828,9326,172,194,3,628066,21252,308,0.698681450404555,0.01453401258615523
Uganda,9538,96,3595,5857,76,86,1,45741007,208,1,0.6140700356468861,0.009016565317676662
Kyrgyzstan,48617,275,3443,44097,140,1077,4,6524195,7451,165,0.9070284057017093,0.022152744924614845
North Macedonia,20163,386,3373,16009,154,781,6,2083374,9678,374,0.7939790705748152,0.03873431533006001
Norway,15388,167,3250,11863,0,275,0,5421241,2838,50,0.7709253964127892,0.01787106836495971
Syria,4616,50,3163,1235,23,218,3,17500658,263,12,0.2675476603119584,0.04722703639514731
Angola,6031,73,3134,2685,50,212,4,32866272,183,6,0.44519980102802187,0.03515171613331122
Kazakhstan,108663,102,3007,103910,152,1746,0,18776707,5787,92,0.9562592602817886,0.016068026835261314
Lithuania,5758,133,2933,2722,62,103,1,2722289,2115,37,0.47273358805140675,0.01788815560958666
Central African Republic,4853,0,2877,1914,0,62,0,4829767,1004,12,0.39439521945188544,0.012775602719967031
Slovenia,7872,365,2865,4842,187,165,5,2078938,3786,79,0.6150914634146342,0.020960365853658538
Qatar,127600,206,2822,124559,232,219,1,2881053,44289,76,0.976167711598746,0.0017163009404388716
Finland,11580,235,2734,8500,0,346,0,5540720,2089,62,0.7340241796200345,0.029879101899827287
Uzbekistan,60342,316,2623,57221,384,498,2,33469203,1802,14,0.9482781478903582,0.008252958138609923
Mozambique,9742,103,2502,7171,260,69,1,31255435,311,2,0.736091151714227,0.007082734551426812
Croatia,19446,457,2438,16695,222,313,3,4105267,4736,76,0.8585313174946004,0.01609585518872776
Botswana,3219,0,2367,834,0,18,0,2351627,1368,7,0.2590866728797763,0.005591798695246971
Bahamas,4713,0,2004,2607,0,102,0,393244,11984,259,0.5531508593252705,0.021642266072565246
Namibia,11829,48,1924,9778,19,127,0,2540905,4655,49,0.8266125623467748,0.010736325978527347
Azerbaijan,41519,215,1785,39129,117,605,2,10139177,4094,59,0.9424359931597582,0.014571641898889666
Trinidad and Tobago,5021,58,1782,3150,74,89,3,1399488,3587,63,0.627365066719777,0.017725552678749253
Senegal,15213,23,1764,13136,68,313,0,16743927,908,18,0.86347203050023,0.020574508643922962
Haiti,8854,0,1611,7013,0,230,0,11402528,776,20,0.7920713801671561,0.025976959566297718
South Korea,24548,72,1494,22624,55,430,2,51269185,478,8,0.9216229428059313,0.017516701971647383
South Sudan,2761,12,1417,1290,0,54,1,11193725,246,4,0.46722202100688154,0.019558131111915972
Australia,27244,18,1360,24987,16,897,0,25499884,1068,35,0.9171560710615181,0.03292468066363236
Rwanda,4890,5,1305,3555,13,30,1,12952218,377,2,0.7269938650306749,0.006134969325153374
Zimbabwe,7994,43,1291,6474,28,229,0,14862924,537,15,0.8098573930447835,0.028646484863647736
Sri Lanka,4523,35,1214,3296,18,13,0,21413249,211,0,0.7287198761883705,0.00287419854079151
Latvia,2507,137,1145,1322,0,40,0,1886198,1329,21,0.5273234942161946,0.015955325089748704
Kosovo,15971,33,1144,14189,46,638,0,1850000,8632,344,0.8884227662638532,0.03994740467096613
Congo (Brazzaville),5118,29,1141,3887,0,90,1,5518087,927,16,0.7594763579523252,0.017584994138335287
Maldives,10808,66,1120,9654,65,34,0,540544,19994,62,0.8932272390821614,0.003145817912657291
Tajikistan,10137,40,1099,8959,45,79,1,9537645,1062,8,0.8837920489296636,0.0077932327118476865
Luxembourg,9119,0,1091,7900,0,128,0,625978,14567,204,0.8663230617392258,0.01403662682311657
Guyana,3358,29,1078,2180,15,100,2,786552,4269,127,0.6491959499702203,0.029779630732578916
Gambia,3621,4,1015,2489,52,117,0,2416668,1498,48,0.6873791770229218,0.03231151615575808
Malawi,5813,4,1002,4631,5,180,0,19129952,303,9,0.7966626526750387,0.030965078272836746
Iceland,3373,106,915,2448,37,10,0,341243,9884,29,0.7257634153572488,0.0029647198339756895
Belize,2427,54,905,1487,28,35,1,397628,6103,88,0.6126905644829007,0.01442109600329625
Nicaragua,5264,0,886,4225,0,153,0,6624554,794,23,0.8026215805471124,0.029065349544072947
Estonia,3809,49,835,2906,82,68,1,1326535,2871,51,0.7629299028616435,0.01785245471252297
Lesotho,1800,14,832,926,0,42,1,2142249,840,19,0.5144444444444445,0.023333333333333334
Andorra,2696,128,827,1814,99,55,1,77265,34892,711,0.6728486646884273,0.02040059347181009
Cabo Verde,6809,92,804,5932,111,73,2,555987,12246,131,0.8711998825084447,0.010721104420619769
Burkina Faso,2254,13,678,1516,10,60,0,20903273,107,2,0.6725820763087844,0.026619343389529725
Cameroon,21203,0,663,20117,0,423,0,26545863,798,15,0.9487808329010046,0.019950007074470595
Egypt,104262,106,641,97592,68,6029,12,102334404,1018,58,0.9360265485028102,0.05782547812242236
Somalia,3745,0,636,3010,0,99,0,15893222,235,6,0.8037383177570093,0.02643524699599466
Malta,3581,75,625,2915,31,41,0,441543,8110,92,0.814018430605976,0.011449315833566042
Guinea,10954,53,621,10265,33,68,0,13132795,834,5,0.9371006025196276,0.0062077779806463396
Guinea-Bissau,2385,0,617,1728,0,40,0,1968001,1211,20,0.7245283018867924,0.016771488469601678
Mali,3248,13,603,2514,8,131,0,20250833,160,6,0.7740147783251231,0.040332512315270935
Gabon,8835,20,592,8189,25,54,0,2225734,3969,24,0.9268817204301075,0.006112054329371817
Zambia,15339,38,564,14439,74,336,1,18383955,834,18,0.9413260316839429,0.021904948171327987
Cyprus,1951,33,557,1369,0,25,1,1207359,1615,20,0.7016914402870323,0.012813941568426449
Sierra Leone,2295,2,500,1723,2,72,0,7976983,287,9,0.7507625272331154,0.03137254901960784
Madagascar,16676,22,464,15975,65,237,2,27691018,602,8,0.9579635404173663,0.014212041256896138
Togo,1921,14,439,1433,7,49,0,8278724,232,5,0.7459656428943259,0.025507548152004164
Cuba,5943,26,422,5398,27,123,0,11326616,524,10,0.9082954736664984,0.020696617869762745
